subject,session,Condition,ACC,RT,stimtype
5,Post,Experimental,1,589,inc
5,Post,Experimental,1,554,inc
5,Post,Experimental,,0,null
5,Post,Experimental,1,985,neu
5,Post,Experimental,0,392,neu
5,Post,Experimental,1,618,con
5,Post,Experimental,1,484,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,405,neu
5,Post,Experimental,,0,null
6,Pre,Control,1,825,neu
6,Pre,Control,0,1325,inc
6,Pre,Control,1,561,con
6,Pre,Control,1,817,inc
6,Pre,Control,1,695,inc
6,Pre,Control,,0,null
6,Pre,Control,1,745,neu
6,Pre,Control,1,536,con
6,Pre,Control,1,541,con
6,Pre,Control,1,502,neu
6,Pre,Control,1,520,con
6,Pre,Control,1,739,inc
6,Pre,Control,1,598,neu
6,Pre,Control,,0,null
6,Pre,Control,1,746,con
6,Pre,Control,1,505,neu
6,Pre,Control,,0,null
6,Pre,Control,1,680,neu
6,Pre,Control,1,750,inc
6,Pre,Control,1,544,neu
6,Pre,Control,1,527,con
6,Pre,Control,1,614,con
6,Pre,Control,1,633,inc
6,Pre,Control,1,533,con
6,Pre,Control,,0,null
6,Pre,Control,1,590,neu
6,Pre,Control,,0,null
6,Pre,Control,1,594,neu
6,Pre,Control,,0,null
6,Pre,Control,1,746,inc
6,Pre,Control,1,653,neu
6,Pre,Control,1,801,inc
6,Pre,Control,1,597,con
6,Pre,Control,1,630,neu
6,Pre,Control,1,803,inc
6,Pre,Control,,0,null
6,Pre,Control,1,784,inc
6,Pre,Control,1,1027,inc
6,Pre,Control,1,767,inc
6,Pre,Control,,0,null
6,Pre,Control,1,745,inc
6,Pre,Control,1,758,inc
6,Pre,Control,1,645,con
6,Pre,Control,,0,null
6,Pre,Control,1,670,neu
6,Pre,Control,,0,null
6,Pre,Control,1,764,con
6,Pre,Control,,0,null
6,Pre,Control,1,945,inc
6,Pre,Control,,0,null
6,Pre,Control,1,674,neu
6,Pre,Control,1,658,neu
6,Pre,Control,1,619,neu
6,Pre,Control,1,636,neu
6,Pre,Control,1,618,neu
6,Pre,Control,1,778,inc
6,Pre,Control,1,620,inc
6,Pre,Control,1,660,inc
6,Pre,Control,1,607,inc
6,Pre,Control,1,603,neu
6,Pre,Control,1,601,con
6,Pre,Control,1,516,neu
6,Pre,Control,1,552,con
6,Pre,Control,,0,null
6,Pre,Control,1,924,inc
6,Pre,Control,1,557,con
6,Pre,Control,,0,null
6,Pre,Control,1,604,neu
6,Pre,Control,1,678,neu
6,Pre,Control,,0,null
6,Pre,Control,1,642,con
6,Pre,Control,1,527,con
6,Pre,Control,1,731,inc
6,Pre,Control,,0,null
6,Pre,Control,1,1023,inc
6,Pre,Control,1,710,con
6,Pre,Control,,0,null
6,Pre,Control,1,655,inc
6,Pre,Control,,0,null
6,Pre,Control,1,672,con
6,Pre,Control,1,562,con
6,Pre,Control,1,534,con
6,Pre,Control,1,619,neu
6,Pre,Control,,0,null
6,Pre,Control,1,693,inc
6,Pre,Control,1,521,neu
6,Pre,Control,1,632,neu
6,Pre,Control,1,731,inc
6,Pre,Control,1,548,neu
6,Pre,Control,1,677,inc
6,Pre,Control,,0,null
6,Pre,Control,1,786,con
6,Pre,Control,1,530,con
6,Pre,Control,,0,null
6,Pre,Control,1,551,neu
6,Pre,Control,1,558,inc
6,Pre,Control,1,520,neu
6,Pre,Control,,0,null
6,Pre,Control,1,633,inc
6,Pre,Control,,0,null
6,Pre,Control,1,570,neu
6,Pre,Control,,0,null
6,Pre,Control,1,750,con
6,Pre,Control,1,1600,inc
6,Pre,Control,1,606,neu
6,Pre,Control,1,563,con
6,Pre,Control,,0,null
6,Pre,Control,1,948,inc
6,Pre,Control,1,658,con
6,Pre,Control,,0,null
6,Pre,Control,1,643,con
6,Pre,Control,,0,null
6,Pre,Control,1,606,neu
6,Pre,Control,,0,null
6,Pre,Control,1,696,inc
6,Pre,Control,,0,null
6,Pre,Control,1,584,con
6,Pre,Control,,0,null
6,Pre,Control,1,1323,inc
6,Pre,Control,1,713,con
6,Pre,Control,1,586,neu
6,Pre,Control,1,730,inc
6,Pre,Control,1,567,neu
6,Pre,Control,1,701,inc
6,Pre,Control,,0,null
6,Pre,Control,1,569,con
6,Pre,Control,1,546,con
6,Pre,Control,1,522,con
6,Pre,Control,1,567,neu
6,Pre,Control,1,541,con
6,Pre,Control,,0,null
6,Pre,Control,1,754,inc
6,Pre,Control,1,600,con
6,Pre,Control,1,740,inc
6,Pre,Control,1,526,con
6,Pre,Control,,0,null
6,Pre,Control,1,769,inc
6,Pre,Control,1,631,neu
6,Pre,Control,,0,null
6,Pre,Control,1,656,neu
6,Pre,Control,,0,null
6,Pre,Control,1,745,inc
6,Pre,Control,1,563,neu
6,Pre,Control,1,576,con
6,Pre,Control,,0,null
6,Pre,Control,1,581,con
6,Pre,Control,1,488,neu
6,Pre,Control,1,689,inc
6,Pre,Control,,0,null
6,Pre,Control,1,660,con
6,Pre,Control,,0,null
6,Pre,Control,1,599,con
6,Pre,Control,1,560,con
6,Pre,Control,,0,null
6,Pre,Control,1,572,con
6,Pre,Control,1,483,neu
6,Pre,Control,1,514,neu
6,Pre,Control,1,699,inc
6,Pre,Control,,0,null
6,Pre,Control,1,595,neu
6,Pre,Control,,0,null
6,Post,Control,1,830,neu
6,Post,Control,1,1120,inc
6,Post,Control,1,1077,con
6,Post,Control,1,766,inc
6,Post,Control,1,770,inc
6,Post,Control,,0,null
6,Post,Control,1,655,neu
6,Post,Control,1,607,con
6,Post,Control,1,687,con
6,Post,Control,1,584,neu
6,Post,Control,1,476,con
6,Post,Control,1,848,inc
6,Post,Control,1,565,neu
6,Post,Control,,0,null
6,Post,Control,1,584,con
6,Post,Control,1,501,neu
6,Post,Control,,0,null
6,Post,Control,1,659,neu
6,Post,Control,1,627,inc
6,Post,Control,1,584,neu
6,Post,Control,1,618,con
6,Post,Control,1,563,con
6,Post,Control,1,627,inc
6,Post,Control,1,655,con
6,Post,Control,,0,null
6,Post,Control,1,585,neu
6,Post,Control,,0,null
6,Post,Control,1,528,neu
6,Post,Control,,0,null
6,Post,Control,1,796,inc
6,Post,Control,1,602,neu
6,Post,Control,1,696,inc
6,Post,Control,1,613,con
6,Post,Control,1,549,neu
6,Post,Control,1,688,inc
6,Post,Control,,0,null
6,Post,Control,1,673,inc
6,Post,Control,1,642,inc
6,Post,Control,1,596,inc
6,Post,Control,,0,null
6,Post,Control,1,673,inc
6,Post,Control,1,695,inc
6,Post,Control,1,623,con
6,Post,Control,,0,null
6,Post,Control,1,628,neu
6,Post,Control,,0,null
6,Post,Control,1,609,con
6,Post,Control,,0,null
6,Post,Control,1,763,inc
6,Post,Control,,0,null
6,Post,Control,1,524,neu
6,Post,Control,1,517,neu
6,Post,Control,1,571,neu
6,Post,Control,1,496,neu
6,Post,Control,1,544,neu
6,Post,Control,1,865,inc
6,Post,Control,1,681,inc
6,Post,Control,1,690,inc
6,Post,Control,1,688,inc
6,Post,Control,1,555,neu
6,Post,Control,1,613,con
6,Post,Control,1,584,neu
6,Post,Control,1,529,con
6,Post,Control,,0,null
6,Post,Control,1,771,inc
6,Post,Control,1,658,con
6,Post,Control,,0,null
6,Post,Control,1,556,neu
6,Post,Control,1,702,neu
6,Post,Control,,0,null
6,Post,Control,1,648,con
6,Post,Control,1,713,con
6,Post,Control,1,719,inc
6,Post,Control,,0,null
6,Post,Control,1,848,inc
6,Post,Control,1,666,con
6,Post,Control,,0,null
6,Post,Control,1,733,inc
6,Post,Control,,0,null
6,Post,Control,1,729,con
6,Post,Control,1,617,con
6,Post,Control,1,605,con
6,Post,Control,1,604,neu
6,Post,Control,,0,null
6,Post,Control,1,752,inc
6,Post,Control,1,584,neu
6,Post,Control,1,562,neu
6,Post,Control,1,709,inc
6,Post,Control,1,611,neu
6,Post,Control,1,665,inc
6,Post,Control,,0,null
6,Post,Control,1,599,con
6,Post,Control,1,598,con
6,Post,Control,,0,null
6,Post,Control,1,573,neu
6,Post,Control,1,693,inc
6,Post,Control,1,581,neu
6,Post,Control,,0,null
6,Post,Control,1,719,inc
6,Post,Control,,0,null
6,Post,Control,1,609,neu
6,Post,Control,,0,null
6,Post,Control,1,619,con
6,Post,Control,1,826,inc
6,Post,Control,1,609,neu
6,Post,Control,1,638,con
6,Post,Control,,0,null
6,Post,Control,1,685,inc
6,Post,Control,1,592,con
6,Post,Control,,0,null
6,Post,Control,1,664,con
6,Post,Control,,0,null
6,Post,Control,1,546,neu
6,Post,Control,,0,null
6,Post,Control,1,701,inc
6,Post,Control,,0,null
6,Post,Control,1,662,con
6,Post,Control,,0,null
6,Post,Control,1,676,inc
6,Post,Control,1,633,con
6,Post,Control,1,510,neu
6,Post,Control,1,692,inc
6,Post,Control,1,507,neu
6,Post,Control,1,635,inc
6,Post,Control,,0,null
6,Post,Control,1,558,con
6,Post,Control,1,531,con
6,Post,Control,1,588,con
6,Post,Control,1,602,neu
6,Post,Control,1,553,con
6,Post,Control,,0,null
6,Post,Control,1,696,inc
6,Post,Control,1,607,con
6,Post,Control,1,801,inc
6,Post,Control,1,527,con
6,Post,Control,,0,null
6,Post,Control,1,624,inc
6,Post,Control,1,516,neu
6,Post,Control,,0,null
6,Post,Control,1,531,neu
6,Post,Control,,0,null
6,Post,Control,1,585,inc
6,Post,Control,1,527,neu
6,Post,Control,1,532,con
6,Post,Control,,0,null
6,Post,Control,1,569,con
6,Post,Control,1,496,neu
6,Post,Control,1,604,inc
6,Post,Control,,0,null
